station,type,numof.routes,lat,long,routelist,HRA_name,geometry
Metro Stop,KC Metro,1,47.48207221,-122.2679494,150,Tukwila,"c(-122.267949436956, 47.482072207188)"
Metro Stop,KC Metro,1,47.47654126,-122.2595833,150,Tukwila,"c(-122.259583251031, 47.4765412616974)"
Metro Stop,KC Metro,1,47.47103568,-122.2543374,150,Tukwila,"c(-122.254337405939, 47.4710356783142)"
Metro Stop,KC Metro,1,47.26458077,-122.2494938,917,"Lakeland, Algona, Pacific, and Milton","c(-122.249493837522, 47.264580772506)"
Metro Stop,KC Metro,1,47.26459815,-122.244838,917,"Lakeland, Algona, Pacific, and Milton","c(-122.244837965617, 47.2645981509859)"
Metro Stop,KC Metro,2,47.77457058,-122.3351338,331 342,Shoreline,"c(-122.335133844551, 47.7745705776212)"
Metro Stop,KC Metro,2,47.77738697,-122.3354188,331 342,Shoreline,"c(-122.335418787308, 47.7773869658982)"
Metro Stop,KC Metro,2,47.77760892,-122.3352218,331 342,Shoreline,"c(-122.335221820095, 47.7776089167161)"
Metro Stop,KC Metro,1,47.77681168,-122.3138223,347,Shoreline,"c(-122.313822302004, 47.7768116798856)"
Metro Stop,KC Metro,1,47.77479705,-122.3137241,347,Shoreline,"c(-122.313724122716, 47.7747970525352)"
Metro Stop,KC Metro,1,47.77215332,-122.3136121,347,Shoreline,"c(-122.313612065557, 47.7721533213036)"
Metro Stop,KC Metro,1,47.7656441,-122.3139957,347,Shoreline,"c(-122.31399570645, 47.7656441009417)"
Metro Stop,KC Metro,1,47.58604522,-122.1717921,246,Bellevue - West,"c(-122.171792089247, 47.5860452194081)"
Metro Stop,KC Metro,1,47.58659296,-122.1692813,246,Bellevue - West,"c(-122.16928126717, 47.5865929588927)"
Metro Stop,KC Metro,1,47.58727432,-122.1650027,246,Bellevue - West,"c(-122.165002714174, 47.5872743190815)"
Metro Stop,KC Metro,3,47.57951908,-122.1665509,212 217 245,Bellevue - Central,"c(-122.166550887885, 47.5795190822549)"
Metro Stop,KC Metro,3,47.57951678,-122.1641722,212 217 245,Bellevue - Central,"c(-122.164172151849, 47.5795167832814)"
