FEATUREDES,NAME,ZIPCODE,LONG_CEN,LAT_CEN,DISTRICT,lat,long,HRA_name,geometry
School-Elementary,Brigadoon Elementary School,98023,-122.3781745,47.29986818,FEDERAL WAY,-122.3781712,47.29986987,Federal Way - Dash Point and Southern Rim,"c(-122.378171186858, 47.2998698675273)"
School-Elementary,Makkah Islamic School,98118,-122.2864807,47.54944006,SEATTLE,-122.2864786,47.54944195,Seattle - Rainier Valley and Rainier Beach,"c(-122.286478643639, 47.5494419499422)"
School-Alternative,Montessori Academy at Spring Valley,98003,-122.3290398,47.27393123,FEDERAL WAY,-122.3290363,47.27393301,Federal Way - Dash Point and Southern Rim,"c(-122.329036296626, 47.2739330062423)"
School-High,Roosevelt High School,98115,-122.3127182,47.67700749,SEATTLE,-122.3127167,47.67700932,Seattle - Ravenna and Bryant,"c(-122.312716733245, 47.6770093172097)"
School-Elementary,Adelaide Elementary School,98023,-122.3566644,47.32903868,FEDERAL WAY,-122.3566612,47.32904043,Federal Way - Central,"c(-122.356661205958, 47.3290404279177)"
School-Elementary,Echo Lake Elementary School,98133,-122.3391491,47.77006496,SHORELINE,-122.339148,47.77006661,Shoreline,"c(-122.339148041117, 47.7700666149435)"
School-Elementary,Newport Heights Elementary School,98006,-122.1803492,47.55580331,BELLEVUE,-122.1803473,47.5558054,Bellevue - South,"c(-122.180347255073, 47.5558054046427)"
School-Other Facility,Administration Center-Riverview,98014,-121.9087596,47.65177663,RIVERVIEW,-121.9087583,47.6517791,"Duvall, Carnation, Skykomish, and Northeast King County","c(-121.908758336696, 47.6517791042624)"
School-Alternative,French-American School of Puget Sound,98040,-122.2077444,47.57661022,MERCER ISLAND,-122.2077426,47.57661225,Mercer Island and Point Cities,"c(-122.207742587345, 47.5766122506117)"
School-Elementary,Fairmount Park Elementary School,98126,-122.3801913,47.55257146,SEATTLE,-122.3801893,47.55257323,Seattle - West Seattle,"c(-122.380189329392, 47.5525732272573)"
School-Alternative,Puesta Del Sol Elementary,98006,-122.1638173,47.57554499,BELLEVUE,-122.1638154,47.57554712,Bellevue - Central,"c(-122.163815420902, 47.5755471205672)"
School-Elementary,B.F. Day Elementary School,98103,-122.349052,47.65475562,SEATTLE,-122.3490505,47.65475739,Fremont and Wallingford,"c(-122.349050466606, 47.6547573862667)"
School-Alternative,Ida B. Wells School of Social Justice,98195,-122.3099392,47.65378872,SEATTLE,-122.3099377,47.65379055,Seattle - University District,"c(-122.309937674879, 47.6537905530793)"
School-Junior High/Middle,Aki Kurose Middle School,98118,-122.2819834,47.54631951,SEATTLE,-122.2819814,47.54632141,Seattle - Rainier Valley and Rainier Beach,"c(-122.281981381773, 47.5463214090008)"
School-Elementary,Snoqualmie Elementary School,98065,-121.8102328,47.52329927,SNOQUALMIE VALLEY,-121.8102311,47.52330197,Snoqualmie and North Bend,"c(-121.810231070148, 47.5233019744638)"
School-Alternative,Renaissance School of Art and Reasoning,98074,-122.0311439,47.59342118,LAKE WASHINGTON,-122.0311422,47.59342358,Sammamish,"c(-122.031142241326, 47.5934235788034)"
School-High,Garfield High School,98122,-122.3018284,47.60512732,SEATTLE,-122.3018266,47.60512918,"Seattle - Central District, Chinatown-International District, Judkins, and North Beacon Hill","c(-122.301826638183, 47.6051291837793)"
